media_id,creation_date,caption,comments_count,like_count,views,shares,comments_downloaded,timestamp
7195894989996494085,2023-02-03,Il nostro podcast lo trovate su Spotify: “tutte le volte che”,194,54300,888800,897,1,2023-02-03
7196275313033137414,2023-02-04,Alice non capisce cosa vuol dire alzare tutto di un tono,6,2915,54900,6,1,2023-02-04
7196669569191136517,2023-02-05,#happybirthdayAlice happybirthdayalice,4,1105,29900,1,1,2023-02-05
7197021095671713030,2023-02-06,IO PIENA ,9,2193,41100,33,1,2023-02-06
7197119829738835205,2023-02-06,Controllo vestibilità giorno 1,131,17900,163800,72,1,2023-02-06
7197872767474126086,2023-02-08,Controllo vestibilità giorno 3 #sanremo2023 sanremo2023,29,7129,111800,23,1,2023-02-08
7198541597506538757,2023-02-10,Noi innamorate. #sanremo2023 sanremo2023,32,3885,137500,58,1,2023-02-10
7198575028240174342,2023-02-10,Controllo vestibilità #sanremo2023 sanremo2023,40,5414,99500,21,1,2023-02-10
7198999877467114757,2023-02-11,Controllo vestibilità #sanremo2023 sanremo2023,31,7611,127400,29,1,2023-02-11
7199288759945334022,2023-02-12,Stanchezza:  #sanremo2023 sanremo2023,12,2031,53900,8,1,2023-02-12
7199959505621241093,2023-02-14,#tuttelevolteche #sanremo2023 tuttelevolteche #sanremo2023,6,6338,119000,15,1,2023-02-14
7200713696870534406,2023-02-16,Ig camihawke,56,23000,221900,782,1,2023-02-16
7202581379631140101,2023-02-21,Doccia mattina = serial killer,605,88700,764700,1165,1,2023-02-21
7205189489449323781,2023-02-28,camihawke's short video with ♬ suono originale,541,153000,1600000,3076,1,2023-02-28
7206314294881881350,2023-03-03,camihawke's short video with ♬ suono originale,84,24400,296600,150,1,2023-03-03
7206682131404311813,2023-03-04,Ig camihawke,9,2246,34900,5,1,2023-03-04
7207741909857520902,2023-03-07,#hogwartslegacy hogwartslegacy,2,447,21200,2,1,2023-03-07
7208209039807843590,2023-03-08,#asmr asmr,17,3870,56000,1,1,2023-03-08
7210028892424359173,2023-03-13,#storytime storytime,567,65000,667800,1041,1,2023-03-13
7210685368310484229,2023-03-15,Ig camihawke,105,28300,323700,188,1,2023-03-15
7213703227727023366,2023-03-23,Ig camihawke,65,29700,284700,102,1,2023-03-23
7215206960461925637,2023-03-27,camihawke's short video with ♬ suono originale,9,2290,43400,4,1,2023-03-27
7215590375161990427,2023-03-28,Mia figlia sarà giapponese ,13,4233,149100,6,1,2023-03-28
7216255768000040219,2023-03-30,Ig camihawke,13,2242,40200,5,1,2023-03-30
7216400170303393051,2023-03-30,camihawke's short video with ♬ suono originale,1,788,25800,6,1,2023-03-30
7217885985000951066,2023-04-03,#medievaltiktok #medieval #transition medievaltiktok #medieval #transition,15,2816,40800,8,1,2023-04-03
7218913296630484251,2023-04-06,camihawke's short video with ♬ suono originale,7049,3200000,43500000,223100,1,2023-04-06
7221610679873146138,2023-04-13,Chiedo,197,15100,237300,186,1,2023-04-13
7221612066975616283,2023-04-13,camihawke's short video with ♬ suono originale,25,11200,116400,301,1,2023-04-13
7222343018769173787,2023-04-15,camihawke's short video with ♬ suono originale,7,1443,32300,6,1,2023-04-15
7222345884342816027,2023-04-15,camihawke's short video with ♬ suono originale,17,1015,27900,6,1,2023-04-15
7223740277805059354,2023-04-19,#transitionlook #transition #glamour transitionlook #transition #glamour,3,1286,29900,2,1,2023-04-19
7225550167552953626,2023-04-24,camihawke's short video with ♬ suono originale,18,1371,34000,20,1,2023-04-24
7229275666598939930,2023-05-04,A facc nderr  ig: camihawke,90,34800,646500,1472,1,2023-05-04
7230493617788407066,2023-05-07,#dontdoit dontdoit,16,6110,82800,21,1,2023-05-07
7230774457848155419,2023-05-08,Mantra. ,14,3272,51800,58,1,2023-05-08
7231514784124898587,2023-05-10,#couple couple,3,1709,39600,25,1,2023-05-10
7234825198912965915,2023-05-19,camihawke's short video with ♬ suono originale,157,53000,462200,1145,1,2023-05-19
7236382865150283035,2023-05-23,camihawke's short video with ♬ suono originale,33,8549,74200,87,1,2023-05-23
7237015554761051418,2023-05-25,camihawke's short video with ♬ suono originale,9,1864,29800,0,1,2023-05-25
7238895108739927323,2023-05-30,camihawke's short video with ♬ suono originale,229,15000,259900,223,1,2023-05-30
7240022793558002971,2023-06-02,#asmr #noodles  asmr #noodles,18,2646,62100,12,1,2023-06-02
7241906515802656027,2023-06-07,#asmr #noodles #mukbang  asmr #noodles #mukbang,94,15100,242200,83,1,2023-06-07
7244542309281451291,2023-06-14,Non può piovere per sempre.  Cit,214,45200,489200,2761,1,2023-06-14
7249657891924249882,2023-06-28,camihawke's short video with ♬ suono originale,21,7593,108700,16,1,2023-06-28
7253066968851352858,2023-07-07,Una domanda ,65,2588,41500,12,1,2023-07-07
7253119210321104155,2023-07-07,#greenscreen greenscreen,10,6941,93400,6,1,2023-07-07
7257833918219504923,2023-07-20,camihawke's short video with ♬ suono originale,137,24200,200200,231,1,2023-07-20
7258315918739049754,2023-07-21,Makeup tutorial,1107,120900,1200000,3054,1,2023-07-21
7259774831946714395,2023-07-25,"Il tuffo 1952, il mio nuovo film. ",59,15400,119300,107,1,2023-07-25
7264606742976204064,2023-08-07,Oggi è stato bello,3,1059,17300,3,1,2023-08-07
7264618628505472289,2023-08-07,Safari:,4,1613,21100,5,1,2023-08-07
7265381217036422433,2023-08-09,Oggi ho filmato questo. ,3,799,11500,1,1,2023-08-09
7271688568899128609,2023-08-26,"2770 likes, 3 comments. “Ferrata = scorciat✅oia”",3,2770,37000,22,1,2023-08-26
7272418138103270689,2023-08-28,"3536 likes, 73 comments. “Conrad= malessere”",73,3536,49400,145,1,2023-08-28
7273511475736530209,2023-08-31,"6124 likes, 61 comments. “#venezia80 ”venezia80",61,6124,66400,15,1,2023-08-31
7274634596237593888,2023-09-03,"13K likes, 49 comments. “Ricetta hummus al volo ”",49,13000,204200,88,1,2023-09-03
7275720322932919584,2023-09-06,Check out camihawke's video.,1,1986,42500,2,1,2023-09-06
7277571508132662561,2023-09-11,"73.5K likes, 427 comments. Check out camihawke's video.",427,73500,707600,2289,1,2023-09-11
7279725274076433696,2023-09-17,"8322 likes, 47 comments. Check out camihawke's video.",47,8322,76200,92,1,2023-09-17
7279795988359826721,2023-09-17,"4344 likes, 7 comments. “Onlyfam ”",7,4344,70100,5,1,2023-09-17
7286802587704151329,2023-10-06,"25.7K likes, 61 comments. “#agostodump #myyearbook #yearbook ”agostodump #myyearbook #yearbook",61,25700,731000,108,1,2023-10-06
7290160279113993504,2023-10-15,"14.2K likes, 33 comments. “#framartinocampanaro #sing #canone ”framartinocampanaro #sing #canone",33,14200,138200,75,1,2023-10-15
7292352200209091872,2023-10-21,"28K likes, 130 comments. “Sacchetti per fare le valigie”howto #packing",130,28000,318900,532,1,2023-10-21
7296078092219501856,2023-10-31,"9001 likes, 36 comments. “#makeup #getreadywithme ”makeup #getreadywithme",36,9001,187700,40,1,2023-10-31
7297260564328271137,2023-11-03,"36K likes, 82 comments. “#cookies #ricetta ”cookies #ricetta",82,36000,361800,280,1,2023-11-03
7300584697770429729,2023-11-12,"4385 likes, 17 comments. “#larp #harrypotter ”larp #harrypotter",17,4385,41200,6,1,2023-11-12
